date,open,high,low,close
2022/4/28,16350.72,16455.57,16256.88,16419.38
2022/4/29,16599.84,16663.66,16521.94,16592.18
2022/5/4,16531.37,16617.06,16514.3,16565.83
2022/5/5,16689.98,16783.78,16650.81,16696.12
2022/5/6,16491.11,16491.11,16312.17,16408.2
2022/5/9,16345.84,16345.84,16048.92,16048.92
2022/5/10,15891.4,16071.5,15734.44,16061.7
2022/5/11,16053.75,16081.15,15953.27,16006.25
2022/5/12,15943.62,15943.62,15616.68,15616.68
2022/5/13,15687.15,15860.69,15687.15,15832.54
2022/5/16,15943.69,16032.85,15847.46,15901.04
2022/5/17,15915.93,16085.85,15915.93,16056.09
2022/5/18,16174.78,16316.58,16172.8,16296.86
2022/5/19,16111.49,16111.49,15892.73,16020.32
2022/5/20,16061.92,16181.66,16058.2,16144.85
2022/5/23,16193.92,16249.45,16125.45,16156.41
2022/5/24,16166.57,16219.8,15963.63,15963.63
2022/5/25,15987.74,16169.18,15980.9,16104.03
2022/5/26,16128.21,16179.01,15949.61,15968.83
2022/5/27,16075.91,16266.22,16075.91,16266.22
2022/5/30,16368.93,16610.62,16368.93,16610.62
2022/5/31,16561.68,16807.77,16493.07,16807.77
2022/6/2,16605.46,16617.26,16540.55,16552.57
2022/6/6,16570.89,16654.12,16509.01,16605.96
2022/6/7,16593.75,16593.75,16465.87,16512.88
2022/6/8,16538.67,16702.99,16538.67,16670.51
2022/6/9,16643.95,16643.95,16557.54,16621.34
2022/6/10,16581.81,16581.81,16403.33,16460.12
2022/6/13,16295.07,16295.07,16055.89,16070.98
2022/6/14,15975.17,16067.8,15869.06,16047.37
2022/6/15,16025.84,16106.75,15981.56,15999.25
2022/6/16,16098.29,16209.25,15838.29,15838.61
2022/6/17,15794.16,15794.16,15573.38,15641.26
2022/6/20,15649.2,15667.68,15367.58,15367.58
2022/6/21,15427.33,15728.64,15427.33,15728.64
2022/6/22,15687.46,15687.46,15346.95,15347.75
2022/6/23,15305.51,15380.28,15102.4,15176.44
2022/6/24,15232.34,15424.37,15232.34,15303.32
2022/6/27,15409.08,15656.35,15409.08,15548.01
2022/6/28,15519.56,15533.34,15375.65,15439.92
2022/6/29,15365.54,15365.54,15218.07,15240.13
2022/6/30,15146.92,15147.77,14825.73,14825.73
2022/7/4,14237.83,14412.47,14167.1,14217.06
2022/7/5,14345.54,14488.8,14100.89,14349.2
2022/7/6,14289.67,14319.32,13985.51,13985.51
2022/7/7,14052.18,14355.15,13951.81,14336.27
2022/7/8,14462.5,14552.42,14373.84,14464.53
2022/7/11,14478.31,14525.03,14313.94,14340.53
2022/7/12,14235.63,14235.63,13928.66,13950.62
2022/7/13,14194.94,14403.51,14194.94,14324.68
2022/7/14,14252.02,14450.47,14159.39,14438.52
2022/7/15,14483.96,14579.73,14378.33,14550.62
2022/7/18,14589.1,14719.64,14589.1,14719.64
2022/7/19,14638.45,14720.13,14598.99,14694.08
2022/7/20,14810.4,14906.95,14694.2,14733.22
2022/7/21,14744.17,14937.7,14716.02,14937.7
2022/7/22,14953.27,14996.24,14902.32,14949.36
2022/7/25,14902.25,14968.23,14851.37,14936.33
2022/7/26,14912.41,14912.41,14750.71,14806.78
2022/7/27,14791.71,14921.59,14717.02,14921.59
2022/7/28,14978.95,15031.99,14849.94,14891.9
2022/7/29,14950.18,15035.27,14929.49,15000.07
2022/8/2,14860.94,14860.94,14663.46,14747.23
2022/8/3,14757.51,14777.02,14673.35,14777.02
2022/8/4,14741.47,14766.57,14545.69,14702.2
2022/8/5,14802.34,15041.41,14802.34,15036.04
2022/8/8,14972.21,15034.87,14908.17,15020.41
2022/8/9,14965.12,15077.63,14905.23,15050.28
2022/8/10,14940.76,14982.33,14890.55,14939.02
2022/8/11,15087.59,15204.79,15087.59,15197.85
2022/8/12,15203.91,15298.42,15198.93,15288.97
2022/8/15,15332.92,15437.23,15315.12,15417.35
2022/8/16,15435.04,15451.83,15392.49,15420.57
2022/8/17,15423.44,15475.89,15390.84,15465.45
2022/8/18,15384.73,15396.76,15311.22,15396.76
2022/8/19,15394.36,15458.45,15346.26,15408.78
2022/8/22,15375.2,15375.2,15229.36,15245.14
2022/8/23,15225.17,15225.17,15086.43,15095.89
2022/8/24,15112.15,15183.96,15053.52,15069.19
2022/8/25,15105.31,15244.06,15105.31,15200.04
2022/8/26,15221.5,15337.25,15221.5,15278.44
2022/8/29,15197.19,15197.19,14843.72,14926.19
2022/8/30,14919.67,15027.5,14911.97,14953.63
2022/8/31,14912.12,15095.44,14874.33,15095.44
2022/9/2,14790.28,14817.4,14673.04,14673.04
2022/9/5,14670.18,14753.03,14632.79,14661.1
2022/9/6,14705.16,14789.31,14623.22,14677.2
2022/9/7,14557.86,14557.86,14397.12,14410.05
2022/9/8,14447.09,14583.42,14447.09,14583.42
2022/9/12,14711.34,14856.23,14711.34,14807.43
2022/9/13,14895.87,14949.56,14856.98,14894.41
2022/9/14,14695.19,14699.78,14522.7,14658.31
2022/9/15,14647,14750.28,14624.55,14670.04
2022/9/16,14602.16,14602.16,14521.65,14561.76
2022/9/19,14567.27,14585.06,14424.33,14425.68
2022/9/20,14474.95,14558.72,14461.39,14549.3
2022/9/21,14517.34,14525.46,14384.11,14424.52
2022/9/22,14325.67,14325.67,14151.8,14284.63
2022/9/23,14231.03,14277.53,14109.71,14118.38
2022/9/26,13993.42,13993.42,13743.19,13778.19
2022/9/27,13812.99,13862.84,13732.32,13826.59
2022/9/28,13816.7,13854.09,13466.07,13466.07
2022/9/29,13550.7,13651.29,13462.57,13534.26
2022/9/30,13409.65,13466.82,13274.72,13424.58
2022/10/4,13447.36,13586.96,13447.36,13576.52
2022/10/5,13727.3,13902.02,13727.3,13801.43
2022/10/6,13865.45,13899.23,13814.33,13892.05
2022/10/7,13847.52,13847.52,13684.21,13702.28
2022/10/11,13394.12,13394.12,13106.03,13106.03
2022/10/12,13076.91,13130.73,12991.59,13081.24
2022/10/13,13108.4,13111.39,12809.43,12810.73
2022/10/14,13023.71,13221.87,13023.71,13128.12
2022/10/17,12988.83,12988.83,12814.82,12966.05
2022/10/18,13075.05,13143.15,12978.13,13124.68
2022/10/19,13096.35,13155.62,12976.76,12976.76
2022/10/20,12912.93,12946.1,12698.91,12946.1
2022/10/21,12931.2,12954.02,12813.6,12819.2
2022/10/24,12913.58,13027.84,12856.77,12856.98
2022/10/25,12830.29,12843.31,12629.48,12666.12
2022/10/26,12666.42,12791.97,12635.52,12729.05
2022/10/27,12807.69,12954.32,12807.69,12926.37
2022/10/28,12874.83,12891.38,12723.98,12788.42
2022/10/31,12862.37,12977.61,12826.34,12949.75
2022/11/2,13033.15,13100.17,13014.04,13100.17
2022/11/3,12985.55,12991.37,12905.35,12986.6
2022/11/4,12941.78,13029.94,12868.25,13026.71
2022/11/7,13109.35,13246.59,13103.35,13223.73
2022/11/8,13274.91,13389.25,13274.91,13347.76
2022/11/9,13410.19,13638.81,13410.19,13638.81
2022/11/10,13556.51,13559.4,13463.85,13503.76
2022/11/11,13878.95,14045.51,13878.95,14007.56
2022/11/14,14080.91,14217.3,14076.94,14174.9
2022/11/15,14325.49,14568.51,14278.53,14546.31
